scenario_id,area,layer,cosine_distance,l2_distance,relative_l2,control_norm,partner_norm
scenario_018,employment,9,0.0005371556350425299,0.05070661555859755,0.03277322908039118,1.5471962019432575,1.5467497761700404
scenario_018,employment,10,0.0004426693163828155,0.04544342668673398,0.029824794739775815,1.5236794446779003,1.5261922193867883
scenario_018,employment,11,0.0005621073461075099,0.05621737363457351,0.03358993273477476,1.6736375770223908,1.6762014171574626
scenario_018,employment,12,0.0006893763638340378,0.05477179556248682,0.037173763848005414,1.4733992443282184,1.4751834534374755
scenario_018,employment,13,0.0009493859631569679,0.07144643622105035,0.0435647760228702,1.640004672204515,1.6382209189170085
scenario_018,employment,14,0.0008147343614326452,0.07453037613057077,0.040379850497333385,1.8457318492423005,1.8418022150517095
scenario_018,employment,15,0.002420059564586352,0.14218150169760044,0.06953286599506693,2.0448100285077797,2.0413875751834407
scenario_018,employment,16,0.004089917446802316,0.200084925493204,0.09048656838040947,2.211211333068111,2.1911755634974996
scenario_018,employment,17,0.006158925347635291,0.23180520359547394,0.11098973174335071,2.0885283706378646,2.062655539087861
scenario_018,employment,18,0.006491769834009786,0.26875300944267383,0.1140591140641135,2.356260713121143,2.3215220602452895
scenario_018,employment,19,0.012148430292340362,0.42035746514192307,0.15588825280770893,2.6965307364143842,2.630541152320321
scenario_018,employment,20,0.01325713426281705,0.45699277211740924,0.1625723825301506,2.811011101671316,2.746891143814231
scenario_018,employment,21,0.013734954756298046,0.45520248697665117,0.16567128040912293,2.7476246085171487,2.6745160980788043
scenario_018,employment,22,0.011234011905786323,0.4313182070308614,0.1504119105044961,2.8675801376644867,2.7872175063269737
scenario_018,employment,23,0.015963736683109797,0.512826265005271,0.17848035948232793,2.8732924255234256,2.7885966017750228
scenario_018,employment,24,0.019143993510703394,0.5496002260366263,0.1957351792332135,2.8078765819699254,2.6986170725588785
scenario_018,employment,25,0.02153148733603294,0.6351139992577134,0.206416516464096,3.076856494514986,3.0016850864604936
scenario_018,employment,26,0.019061115319092825,0.6512453392943671,0.19447850497886182,3.348675162662074,3.3114216686777747
scenario_018,employment,27,0.02992714174616462,0.8816750518346571,0.2449145327621568,3.599929501492163,3.6074185670859182
scenario_018,employment,28,0.02569844530192944,0.9265030840192102,0.2277988972823984,4.067197405572338,4.100952919353737
scenario_018,employment,29,0.028668028058985606,0.9507109503882825,0.24250194642504844,3.9204260600940146,3.9957656172700466
scenario_018,employment,30,0.02764652272502177,1.0272608530255527,0.23746488407114416,4.325948474629144,4.392962247312885
scenario_018,employment,31,0.02317177890381661,1.0813157892479561,0.2196143588633941,4.923702597791263,5.052017892591071
scenario_018,employment,32,0.02083968018613358,1.0801950559775115,0.20595631086283325,5.2447776494546,5.315101947055135
scenario_018,employment,33,0.019224763613354012,1.205745443956624,0.20050098051400048,6.01366357843038,6.174988381117058
scenario_018,employment,34,0.0166189700745627,1.4119201383687205,0.18187769788497785,7.763019626857383,7.549768706952098
scenario_018,employment,35,0.017360264490899002,1.4502079134692267,0.18677455685924643,7.764483224351085,7.797227228320102
scenario_018,employment,36,0.01531263154160556,1.4904085450615563,0.17546361033351507,8.494117624894644,8.533228794604122
scenario_018,employment,37,0.013625995178680794,1.7448271031066827,0.16475590736962414,10.59037658171627,10.539715526858162
scenario_018,employment,38,0.012430230077069115,2.417911498435008,0.15936980274248658,15.171704154907724,15.382447766318045
scenario_018,employment,39,0.020403144157747355,2.6984854081867664,0.20519539033385373,13.150809108315347,13.427123434421455
scenario_019,employment,0,4.607410464108064e-05,0.006024045650645885,0.010307553311605093,0.5844302201050484,0.5822087930303781
scenario_019,employment,1,0.0002048113066563939,0.014752428659053473,0.020281412416512785,0.7273866511901456,0.7282012965035835
scenario_019,employment,2,0.00013661519817698142,0.015382415639769546,0.016689178935481882,0.9216999649435058,0.9236993519172577
scenario_019,employment,3,0.00018355711019868437,0.020022664428263986,0.019176101217538277,1.0441467846420966,1.0447919611300627
scenario_019,employment,4,0.00018870806471005253,0.02219762972549578,0.019432711232366975,1.142281664152122,1.1426369583274762
scenario_019,employment,5,0.0002908907968689478,0.02910634303006616,0.024558997833873303,1.185160047122154,1.1903039294745716
scenario_019,employment,6,0.0003115169987116806,0.029236170342793244,0.024972258071238585,1.1707459637567,1.171344346155983
scenario_019,employment,7,0.00047682525948833376,0.04152746864064497,0.03087757209057921,1.3449071876125605,1.3443144223060512
scenario_019,employment,8,0.0005615941857064488,0.049488008670099864,0.033625341460540074,1.4717473940948647,1.4668129787363864
scenario_019,employment,9,0.0005950302748627401,0.05343345976280196,0.034660172341313404,1.5416386057351372,1.5354658885010637
scenario_019,employment,10,0.0004779642123643457,0.046885374716699825,0.03096091621987793,1.5143406733744484,1.5161860614630898
scenario_019,employment,11,0.0005895787043130873,0.058210279397837156,0.03434044641684594,1.6950938462256477,1.695239684444256
scenario_019,employment,12,0.0007454695310313841,0.05732088663293304,0.03860782183297197,1.4846962069219787,1.484220309980074
scenario_019,employment,13,0.0009598747885148917,0.07265791284641297,0.04398925303462238,1.6517196322753311,1.6434807783983965
scenario_019,employment,14,0.002243135179394895,0.12354298311673698,0.06743368349865497,1.832066360711278,1.813065912542841
scenario_019,employment,15,0.002509817725768526,0.1474113061592563,0.07084720979220495,2.080693178907314,2.0703782613540973
scenario_019,employment,16,0.00214389281099292,0.14682565540489925,0.06583825436924917,2.230096420561791,2.209313494728321
scenario_019,employment,17,0.0036472493410626416,0.17790416836215422,0.08533107249876234,2.084869709855511,2.0763434141673933
scenario_019,employment,18,0.0032618472154601896,0.1890543235976133,0.08073903260178049,2.3415480407111566,2.3283019792369566
scenario_019,employment,19,0.007281437278355507,0.3305179728274441,0.12049938186025816,2.7429018118179416,2.7141497727574544
scenario_019,employment,20,0.008773793286227294,0.37265934876949475,0.1322685020370508,2.8174459000458487,2.806628960881853
scenario_019,employment,21,0.009235534515138588,0.3744178322307271,0.1357415538435332,2.7583140286010845,2.7502836541411697
scenario_019,employment,22,0.008093144913296713,0.37283560777572333,0.12712690340280014,2.932782894855843,2.9277020635995505
scenario_019,employment,23,0.011316154211018725,0.45541054282812304,0.1500144652779188,3.0357775297497036,3.000530236379992
scenario_019,employment,24,0.01318753093554026,0.49267500867809044,0.16202532456816018,3.0407284169385127,2.978901887265274
scenario_019,employment,25,0.018341511278708422,0.6348673810919634,0.19147099390520464,3.315736593534788,3.3137255395160357
scenario_019,employment,26,0.01512127170362243,0.643084755871539,0.17623124789787514,3.649096079965356,3.711798284188293
scenario_019,employment,27,0.02204025423134859,0.7894037807421856,0.20905295769101892,3.7760947726409473,3.732184243694051
scenario_019,employment,28,0.0174846263033418,0.7996241683254254,0.18725381591263432,4.270269016565731,4.281058485890846
scenario_019,employment,29,0.021028212585445627,0.8357194712691454,0.20676573868595366,4.041866300385862,4.09321231752789
scenario_019,employment,30,0.018607832924798173,0.8462722181725528,0.19332558335151123,4.377445568773128,4.394397363662994
scenario_019,employment,31,0.01840593650222422,0.9817671347817422,0.19258311631163383,5.097887881267161,5.130496657365181
scenario_019,employment,32,0.018990011211726054,1.0737221751612689,0.19408878694919135,5.532118532135235,5.466592189483435
scenario_019,employment,33,0.01835343296398373,1.1726219269472686,0.1921531658102408,6.102537639714358,6.134018970378097
scenario_019,employment,34,0.013284708118800448,1.3487568075950216,0.16257237190797155,8.296346985443021,8.236490197381592
scenario_019,employment,35,0.017404751360093895,1.5766291640405583,0.18585024422990098,8.483331138861631,8.384954296055762
scenario_019,employment,36,0.015068473048443276,1.57269327707704,0.1731058544694753,9.085153600939371,9.016089124109582
scenario_019,employment,37,0.01243629573193994,1.7613724696127389,0.15723536397943708,11.202139423565601,11.03770334143184
scenario_019,employment,38,0.010679907205508155,2.3092795092151954,0.14642094798079627,15.771510436594545,15.822369911197214
scenario_019,employment,39,0.015218570758187333,2.652393051449106,0.17649443598878903,15.028196422110364,15.261407037988066
scenario_020,employment,0,2.5580684836601364e-05,0.004095191669694185,0.007153467230325423,0.5724764701980593,0.5725228909161486
